# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jun 10 00:23:08 2026
#
# User ID:         aniketambasth
#
# User preference: archive defaults*
#
# CONSTRAINT:  where (soltype like '%Published Confirmed%'
# CONSTRAINT:  and pl_controv_flag = 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
14 Her b,14 Her,0,1,2,Radial Velocity,2002,W. M. Keck Observatory,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,1773.40002000000,2.9300000000,,,1481.08780000,4.66000000,Msini,0.370000,,,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5338.00,0.930000,0.900000,0.4100,[Fe/H],4.450000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000,6.6193500,4.7140000,6.3830000,2018-09-04,2017-03,2018-09-06
14 Her b,14 Her,0,1,2,Radial Velocity,2002,W. M. Keck Observatory,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,1766.41000000000,2.8300000000,,,1541.46777395,4.85000000,Msini,0.367400,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5314.94,0.995819,0.969205,0.4052,[Fe/H],4.426953,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000,6.6193500,4.7140000,6.3830000,2021-09-20,2021-07,2021-09-20
14 Her b,14 Her,0,1,2,Radial Velocity,2002,W. M. Keck Observatory,Published Confirmed,0,<a refstr=GOZDZIEWSKI_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...645..688G/abstract target=ref> Gozdziewski et al. 2006</a>,,2.7300000000,,,1440.66300000,4.53300000,Msini,0.357000,,,0,<a refstr=GOZDZIEWSKI_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...645..688G/abstract target=ref> Gozdziewski et al. 2006</a>,,,,0.900000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000,6.6193500,4.7140000,6.3830000,2018-04-25,2006-07,2014-08-21
14 Her b,14 Her,0,1,2,Radial Velocity,2002,W. M. Keck Observatory,Published Confirmed,0,<a refstr=BUTLER_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003ApJ...582..455B/abstract target=ref> Butler et al. 2003 </a>,1724.00000000000,2.8200000000,,,1554.12000000,4.89000000,Msini,0.370000,,,0,<a refstr=BUTLER_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003ApJ...582..455B/abstract target=ref> Butler et al. 2003 </a>,K0 V,,,1.000000,0.3500,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000,6.6193500,4.7140000,6.3830000,2018-04-25,2003-01,2014-08-21
14 Her b,14 Her,0,1,2,Radial Velocity,2002,W. M. Keck Observatory,Published Confirmed,0,<a refstr=WITTENMYER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...654..625W/abstract target=ref> Wittenmyer et al. 2007 </a>,1773.40000000000,2.7700000000,,,1474.67000000,4.64000000,Msini,0.369000,,,0,<a refstr=WITTENMYER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...654..625W/abstract target=ref> Wittenmyer et al. 2007 </a>,K0 V,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000,6.6193500,4.7140000,6.3830000,2018-04-25,2007-01,2014-05-14
14 Her b,14 Her,0,1,2,Radial Velocity,2002,W. M. Keck Observatory,Published Confirmed,0,<a refstr=NAEF_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...414..351N/abstract target=ref> Naef et al. 2004 </a>,1796.40000000000,2.8000000000,,,1506.45000000,4.74000000,Msini,0.338000,,,0,<a refstr=NAEF_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...414..351N/abstract target=ref> Naef et al. 2004 </a>,,5255.00,,0.900000,0.5100,[Fe/H],4.400000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000,6.6193500,4.7140000,6.3830000,2018-04-25,2004-01,2014-08-21
14 Her b,14 Her,1,1,2,Radial Velocity,2002,W. M. Keck Observatory,Published Confirmed,0,<a refstr=BARDALEZ_GAGLIUFFI_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...988L..18B/abstract target=ref>Bardalez Gagliuffi et al. 2025</a>,,2.8390000000,,,2828.67282230,8.90000000,Mass,0.368300,,,0,<a refstr=BARDALEZ_GAGLIUFFI_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJ...988L..18B/abstract target=ref>Bardalez Gagliuffi et al. 2025</a>,K0,,,0.970000,0.4300,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000,6.6193500,4.7140000,6.3830000,2026-03-26,2025-07,2026-03-26
14 Her b,14 Her,0,1,2,Radial Velocity,2002,W. M. Keck Observatory,Published Confirmed,0,<a refstr=GOZDZIEWSKI_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008MNRAS.385..957G/abstract target=ref> Gozdziewski et al. 2008</a>,1766.00000000000,2.8640000000,,,1581.13800000,4.97500000,Msini,0.359000,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5280.00,1.002350,0.910000,0.4000,[M/H],4.395070,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000,6.6193500,4.7140000,6.3830000,2018-04-25,2008-04,2014-08-21
16 Cyg B b,16 Cyg B,1,3,1,Radial Velocity,1996,Multiple Observatories,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,798.50000000000,1.6600000000,,,565.73740000,1.78000000,Msini,0.680000,,,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5750.00,1.130000,1.080000,0.0600,[Fe/H],4.360000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.13970000,6.2150000,4.6510000,6.0642800,2018-09-04,2017-03,2018-09-06
16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,Multiple Observatories,Published Confirmed,0,<a refstr=WITTENMYER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...654..625W/abstract target=ref> Wittenmyer et al. 2007 </a>,799.50000000000,1.6800000000,,,533.93000000,1.68000000,Msini,0.689000,,,0,<a refstr=WITTENMYER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...654..625W/abstract target=ref> Wittenmyer et al. 2007 </a>,G3 V,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.13970000,6.2150000,4.6510000,6.0642800,2018-04-25,2007-01,2014-09-18
16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,Multiple Observatories,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,799.45000000000,1.6760000000,,,556.83536906,1.75200000,Msini,0.683200,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5711.97,1.159464,0.982996,0.0739,[Fe/H],4.300386,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.13970000,6.2150000,4.6510000,6.0642800,2021-09-20,2021-07,2021-09-20
16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,Multiple Observatories,Published Confirmed,0,<a refstr=WITTENMYER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007AJ....134.1276W/abstract target=ref> Wittenmyer et al. 2007 </a>,799.50000000000,1.6800000000,,,533.93000000,1.68000000,Msini,0.689000,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5747.00,1.128270,1.030000,0.0600,[M/H],4.346080,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.13970000,6.2150000,4.6510000,6.0642800,2018-04-25,2007-09,2014-09-18
16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,Multiple Observatories,Published Confirmed,0,<a refstr=COCHRAN_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...483..457C/abstract target=ref> Cochran et al. 1997 </a>,800.80000000000,1.6000000000,,,476.70000000,1.50000000,Msini,0.634000,,,0,<a refstr=COCHRAN_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...483..457C/abstract target=ref> Cochran et al. 1997 </a>,G2.5 V,5760.00,,1.000000,0.0500,[Fe/H],4.350000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.13970000,6.2150000,4.6510000,6.0642800,2018-04-25,1997-07,2014-08-21
16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,Multiple Observatories,Published Confirmed,0,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>,798.50000000000,1.6810000000,,,533.95440000,1.68000000,Msini,0.681000,,,0,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>,,5674.00,,0.990000,0.0380,[Fe/H],4.355000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.13970000,6.2150000,4.6510000,6.0642800,2018-04-25,2006-07,2015-09-10
17 Sco b,17 Sco,1,1,1,Radial Velocity,2020,Lick Observatory,Published Confirmed,0,<a refstr=TALA_PINTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A...1T/abstract target=ref>Tala Pinto et al. 2020</a>,578.38000000000,1.4500000000,,,1373.01871824,4.32000000,Msini,0.060000,,,0,<a refstr=TALA_PINTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A...1T/abstract target=ref>Tala Pinto et al. 2020</a>,K3 III,4157.00,25.920000,1.220000,-0.0100,[Fe/H],1.700000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.95300000,5.2260600,2.0940000,4.7542900,2021-10-25,2020-12,2021-10-25
18 Del b,18 Del,0,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,Published Confirmed,0,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,2.5400000000,,,3127.30000000,9.84000000,Msini,,,,0,<a refstr=KUNITOMO_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...737...66K/abstract target=ref> Kunitomo et al. 2011</a>,,,,2.100000,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.22200000,5.5104800,3.3660000,5.2747600,2014-07-23,2011-08,2014-07-23
